NODE_COORD_SECTION		
1	70	70
2	10	64
3	99	139
4	63	17
5	61	38
6	81	87
7	74	33
8	117	68
9	129	68
10	138	104
11	98	111
12	140	82
13	93	70
14	103	73
15	78	108
16	85	22
17	39	55
18	78	37
19	29	121
20	79	136
21	90	86
22	73	44
23	97	135
24	86	59
25	11	92
26	88	45
27	12	94
28	73	107
29	126	111
30	119	84
31	53	93
32	50	20
33	128	92
34	137	119
35	128	113
36	74	116
37	53	55
38	51	29
39	58	104
40	28	88
41	25	84
42	94	42
43	119	102
44	42	100
45	47	54
46	76	42
47	133	53
48	31	90
49	99	100
50	31	107
51	63	72
52	40	68
53	17	97
54	85	99
55	129	93
56	109	73
57	19	68
58	91	56
59	110	80
60	32	69
61	118	108
62	134	62
63	33	83
64	72	108
65	109	94
66	58	79
67	100	110
68	4	81
69	61	63
70	65	89
71	56	62
72	39	87
73	15	110
74	44	99
75	112	79
76	120	32
77	49	23
78	70	55
79	30	118
80	36	83
81	45	17
82	106	102
83	38	23
84	60	61
85	137	55
86	104	98
87	25	60
88	76	133
89	133	76
90	98	13
91	50	55
92	87	58
93	61	111
94	63	57
95	59	58
96	98	85
97	91	65
98	42	121
99	23	15
100	19	25
