NODE_COORD_SECTION		
1	70	70
2	99	33
3	110	105
4	75	27
5	96	80
6	111	81
7	74	13
8	138	134
9	23	103
10	119	20
11	100	69
12	58	74
13	18	105
14	48	31
15	61	64
16	47	74
17	4	28
18	92	6
19	11	46
20	15	88
21	22	56
22	139	34
23	12	91
24	41	32
25	122	125
26	138	121
27	93	62
28	4	33
29	28	70
30	12	78
31	28	82
32	24	112
33	93	92
34	54	112
35	47	86
36	46	123
37	100	27
38	70	70
39	119	25
40	88	34
41	108	108
42	123	112
43	32	75
44	122	20
45	93	136
46	29	39
47	110	108
48	112	79
49	83	35
50	117	72
51	41	82
52	16	86
53	38	3
54	99	26
55	20	87
56	9	27
57	16	116
58	112	118
59	62	38
60	133	95
61	95	19
62	31	114
63	53	87
64	4	126
65	134	105
66	100	38
67	43	1
68	140	140
69	63	101
70	118	105
71	13	56
72	22	91
73	26	108
74	90	14
75	74	60
76	130	85
77	39	90
78	1	46
79	94	81
80	127	108
81	90	24
82	81	24
83	43	81
84	68	40
85	71	43
86	111	108
87	71	61
88	25	130
89	95	57
90	53	27
91	85	43
92	33	77
93	83	16
94	15	48
95	122	68
96	39	118
97	94	94
98	97	116
99	64	98
100	52	52
