NODE_COORD_SECTION		
1	70	70
2	42	112
3	109	64
4	123	86
5	132	71
6	91	92
7	128	136
8	71	107
9	36	39
10	57	110
11	102	35
12	81	85
13	139	71
14	82	118
15	86	41
16	94	62
17	77	21
18	29	63
19	99	106
20	73	66
21	100	48
22	48	107
23	25	134
24	83	47
25	89	40
26	96	25
27	28	42
28	29	10
29	50	111
30	55	1
31	53	106
32	83	7
33	90	40
34	62	112
35	62	102
36	75	94
37	2	113
38	96	14
39	90	25
40	46	85
41	104	20
42	138	100
43	123	96
44	40	7
45	128	79
46	31	50
47	54	120
48	15	23
49	16	37
50	104	1
51	9	12
52	81	43
53	46	57
54	20	6
55	108	63
56	91	139
57	33	44
58	88	33
59	125	15
60	116	103
61	117	25
62	83	51
63	117	19
64	135	71
65	86	36
66	39	45
67	69	100
68	122	100
69	35	15
70	115	34
71	46	117
72	77	32
73	61	46
74	77	55
75	13	20
76	109	131
77	80	18
78	80	123
79	123	18
80	98	133
81	67	20
82	85	21
83	10	6
84	19	9
85	79	86
86	37	38
87	28	13
88	109	127
89	97	19
90	85	123
91	56	98
92	107	105
93	110	127
94	70	117
95	86	78
96	40	126
97	119	29
98	126	23
99	42	11
100	94	67
